"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site2","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Site.match","Manipulation","Mean.Temp.","Mean.Precip.","Latitude2","SOC_stock","Ecosystem_type2","Outlier","soil_temperature","nearest_distance_km","soil_temp_years_used","delta.Mean.Temp.","delta.Mean.Precip.","delta.Mean.soil_temperature"
12979,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1044.47,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12980,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1029.34,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12981,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",900.67,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12982,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1116.37,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12983,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1097.45,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12984,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1089.88,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12985,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1101.24,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12986,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1120.16,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12987,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1078.53,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12988,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1017.98,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12989,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1070.96,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
