Record_number,Study_midyear,YearsOfData,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Manipulation,Mean.Temp.,Mean.Precip.,Latitude2,SOC_stock,Ecosystem_type2,Outlier,soil_temperature,nearest_distance_km,soil_temp_years_used,delta.Mean.Temp.,delta.Mean.Precip.,delta.Mean.soil_temperature
5310,2004.5,8,46.7667,9.8667,46.7667 9.8667,6816,2180,Temperate,Managed,Mixed Forest,Mixed,2.1,1133,IRGA,"",Mature,256,46.7667_9.8667,None,1.31636363636364,734.5,46.7667,88.2,Mixed Forest,0,1.17116953531905,5.22735759069499,2004,-3.75989801687529,-152.852882514571,-10.952273963803
5318,2009.5,1,45.55,13.92,45.55 13.92,6859,415,Temperate,Unmanaged,Grassland,Deciduous,10.5,1370,IRGA,"",Mature,1345,45.55_13.92,None,5.15409090909091,,45.55,72.3,Grassland,0,11.0161580403646,5.97753293579516,2010,0.0778292558519853,,-1.10728545875744
5319,2009.5,1,45.55,13.92,45.55 13.92,6859,415,Temperate,Unmanaged,Shrubland,Deciduous,10.5,1370,IRGA,"",Aggrading,1324,45.55_13.92,None,5.15409090909091,,45.55,72.3,Shrubland,0,11.0161580403646,5.97753293579516,2010,0.0778292558519853,,-1.10728545875744
5320,2010.5,1,45.55,13.92,45.55 13.92,6859,415,Temperate,Unmanaged,Grassland,Deciduous,10.5,1370,IRGA,"",Mature,1150,45.55_13.92,None,5.15409090909091,,45.55,72.3,Grassland,0,11.0161580403646,5.97753293579516,2010,0.0778292558519853,,-1.10728545875744
5321,2010.5,1,45.55,13.92,45.55 13.92,6859,415,Temperate,Unmanaged,Shrubland,Deciduous,10.5,1370,IRGA,"",Aggrading,1268,45.55_13.92,None,5.15409090909091,,45.55,72.3,Shrubland,0,11.0161580403646,5.97753293579516,2010,0.0778292558519853,,-1.10728545875744
5322,1992.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,913,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5323,1993.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,663,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5324,1994.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,839,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5325,1995.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,781,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5326,1996.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,750,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5327,1997.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,644,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5328,1998.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,752,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5329,1999.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,818,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5330,2000.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,696,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5331,2001.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,663,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5332,2002.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,748,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5333,2003.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,768,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5334,2004.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,734,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5335,2005.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,783,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5336,2006.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,751,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5337,2007.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,704,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5338,2008.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,721,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5339,2009.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Deciduous Forest,Deciduous,8.5,1050,IRGA,"",Mature,740,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Deciduous Forest,0,,,,0.688423031445756,98.6920613056543,
5340,1992.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,853,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5341,1993.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,616,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5342,1994.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,783,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5343,1995.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,728,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5344,1996.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,698,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5345,1997.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,598,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5346,1998.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,700,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5347,1999.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,762,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5348,2000.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,646,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5349,2001.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,616,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5350,2002.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,696,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5351,2003.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,715,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5352,2004.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,682,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5353,2005.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,729,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5354,2006.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,699,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5355,2007.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,655,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5356,2008.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,670,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5357,2009.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Evergreen Forest,Evergreen,8.5,1050,IRGA,"",Mature,688,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Evergreen Forest,0,,,,0.688423031445756,98.6920613056543,
5358,1992.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Mixed Forest,Mixed,8.5,1050,IRGA,"",Mature,842,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Mixed Forest,0,,,,0.688423031445756,98.6920613056543,
5359,1993.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Mixed Forest,Mixed,8.5,1050,IRGA,"",Mature,618,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Mixed Forest,0,,,,0.688423031445756,98.6920613056543,
5360,1994.5,1,42.53,-72.18,42.53 -72.18,6935,340,Temperate,Natural,Mixed Forest,Mixed,8.5,1050,IRGA,"",Mature,777,42.53_-72.18,None,5.76468468468468,986.044943820225,42.53,256.1,Mixed Forest,0,,,,0.688423031445756,98.6920613056543,
